Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1727548522.1362708,nan,nan,nan,nan,1727548521.2878995,81.04,-2.8,1727548521.1609251,0,1727548521.3822906,24.133333333333333,-0.0012000000000000001,1727548521.218685,75.0,99.78845167135567,997.8761596679688,25.0
1727548523.1500287,nan,nan,nan,nan,1727548522.2479875,81.07,-2.9,1727548522.1352906,0,1727548522.3576965,25.919999999999995,-0.002000000000000001,1727548522.1931334,75.0,99.78532664155262,997.8685913085938,25.0
1727548523.1500287,nan,nan,nan,nan,1727548522.2479875,81.07,-2.9,1727548522.1352906,0,1727548522.3576965,25.919999999999995,-0.002000000000000001,1727548522.1931334,75.0,99.78532664155262,997.8685913085938,25.0
1727548524.1456463,nan,nan,nan,nan,1727548523.2736595,81.06,-2.9,1727548523.1480663,0,1727548523.3667214,26.777777777777775,-0.0012000000000000001,1727548523.215574,75.0,99.78532664155262,997.8636474609375,25.0
1727548526.1508358,nan,nan,nan,nan,1727548525.274144,81.05,-3.0,1727548525.1470711,0,1727548525.364551,26.06666666666667,-0.0016000000000000005,1727548525.2114902,75.0,99.78845167135567,997.8932495117188,25.0
1727548527.150151,nan,nan,nan,nan,1727548526.2668605,81.05,-3.1,1727548526.1498377,0,1727548526.3704402,26.386666666666667,-0.0016000000000000005,1727548526.2188153,75.0,99.78845167135567,997.9041748046875,25.0
1727548528.1542761,nan,nan,nan,nan,1727548527.2749531,81.05,-3.1,1727548527.1491532,0,1727548527.3609645,26.92,-0.0008,1727548527.223935,75.0,99.78845167135567,997.8935546875,25.0
1727548529.1436412,nan,nan,nan,nan,1727548528.2664132,81.08,-3.0,1727548528.152279,0,1727548528.3694692,25.54666666666667,-0.0012000000000000001,1727548528.2142994,75.0,99.78532664155262,997.8597412109375,25.0
1727548529.1436412,nan,nan,nan,nan,1727548528.2664132,81.08,-3.0,1727548528.152279,0,1727548528.3694692,25.54666666666667,-0.0012000000000000001,1727548528.2142994,75.0,99.78532664155262,997.8597412109375,25.0
1727548531.1503983,nan,nan,nan,nan,1727548530.281957,81.06,-2.9,1727548530.1554642,0,1727548530.3827186,26.97333333333334,0.0,1727548530.2146063,75.0,99.78845167135567,997.874267578125,25.0
1727548532.1687994,nan,nan,nan,nan,1727548531.2753706,81.07,-2.8,1727548531.1484423,0,1727548531.3730834,27.546666666666667,0.0,1727548531.217332,75.0,99.78532664155262,997.8734741210938,25.0
1727548533.1717422,nan,nan,nan,nan,1727548532.2824068,81.07,-2.7,1727548532.1667347,0,1727548532.3798022,25.839999999999996,-0.0006666666666666666,1727548532.2416089,75.0,99.78845167135567,997.8909301757812,25.0
1727548534.1974406,nan,nan,nan,nan,1727548533.293742,81.05,-2.6,1727548533.1696339,0,1727548533.3868804,25.622222222222224,-0.0014666666666666671,1727548533.230453,75.0,99.78845167135567,997.87890625,25.0
1727548535.1958616,nan,nan,nan,nan,1727548534.3169558,81.05,-2.6,1727548534.1964755,0,1727548534.4107003,26.559999999999995,0.0,1727548534.2516224,75.0,99.78845167135567,997.891845703125,25.0
1727548536.1878905,nan,nan,nan,nan,1727548535.3090293,81.05,-2.5,1727548535.1947384,0,1727548535.4174607,26.95999999999999,-0.0008,1727548535.2591383,75.0,99.78845167135567,997.8853759765625,25.0
1727548537.1884868,nan,nan,nan,nan,1727548536.316063,81.04,-2.5,1727548536.186881,0,1727548536.4077163,25.839999999999996,-0.0018666666666666666,1727548536.2489245,75.0,99.78845167135567,997.9004516601562,25.0
1727548538.1919615,nan,nan,nan,nan,1727548537.308064,81.05,-2.5,1727548537.1874793,0,1727548537.4174874,25.160000000000007,0.0,1727548537.2562969,75.0,99.79157670115873,997.9181518554688,25.0
1727548539.1964796,nan,nan,nan,nan,1727548538.3174865,81.04,-2.5,1727548538.1908863,0,1727548538.4053223,26.96,-0.00013333333333333334,1727548538.2652364,75.0,99.79157670115873,997.916015625,25.0
1727548540.2156672,nan,nan,nan,nan,1727548539.3232594,81.04,-2.5,1727548539.1955118,0,1727548539.4127476,26.360000000000007,0.0,1727548539.267067,75.0,99.78532664155262,997.8751831054688,25.0
1727548541.2192929,nan,nan,nan,nan,1727548540.3326538,81.04,-2.5,1727548540.2136724,0,1727548540.435174,26.75555555555556,-0.001733333333333334,1727548540.2810743,75.0,99.78845167135567,997.8795776367188,25.0
1727548542.2135205,nan,nan,nan,nan,1727548541.3401134,81.06,-2.6,1727548541.217299,0,1727548541.4419425,24.520000000000003,-0.002800000000000001,1727548541.2868998,75.0,99.79157670115873,997.9144287109375,25.0
1727548543.2250528,nan,nan,nan,nan,1727548542.3336837,81.03,-2.6,1727548542.2115555,0,1727548542.4339848,26.199999999999996,0.0002666666666666667,1727548542.2747204,75.0,99.78845167135567,997.8731079101562,25.0
1727548544.2343557,nan,nan,nan,nan,1727548543.3428423,81.05,-2.7,1727548543.2240734,0,1727548543.4398732,26.373333333333335,-0.001733333333333334,1727548543.3017251,75.0,99.78532664155262,997.861083984375,25.0
1727548545.2233462,nan,nan,nan,nan,1727548544.3514023,81.05,-2.8,1727548544.2321475,0,1727548544.4477875,25.8,-0.001733333333333334,1727548544.3004673,75.0,99.79157670115873,997.9034423828125,25.0
1727548546.2309241,nan,nan,nan,nan,1727548545.3437693,81.06,-2.9,1727548545.222346,0,1727548545.4385915,24.56,-0.0002666666666666667,1727548545.2891715,75.0,99.78532664155262,997.8505249023438,25.0
1727548547.2381094,nan,nan,nan,nan,1727548546.3516867,81.05,-2.9,1727548546.2299361,0,1727548546.4477382,26.01333333333334,-0.0010666666666666667,1727548546.29409,75.0,99.78845167135567,997.9020385742188,25.0
1727548548.2335696,nan,nan,nan,nan,1727548547.358856,81.05,-3.0,1727548547.2371416,0,1727548547.4525414,26.613333333333337,-0.0009333333333333333,1727548547.30496,75.0,99.78845167135567,997.8786010742188,25.0
1727548549.2254853,nan,nan,nan,nan,1727548548.3523858,81.04,-3.1,1727548548.2315652,0,1727548548.459306,25.959999999999997,0.00013333333333333334,1727548548.2984288,75.0,99.78532664155262,997.856689453125,25.0
1727548550.2393012,nan,nan,nan,nan,1727548549.3451493,81.05,-3.1,1727548549.224478,0,1727548549.448846,25.36,-0.0033333333333333327,1727548549.29032,75.0,99.78220161174954,997.8400268554688,25.0
1727548550.2393012,nan,nan,nan,nan,1727548549.3451493,81.05,-3.1,1727548549.224478,0,1727548549.448846,25.36,-0.0033333333333333327,1727548549.29032,75.0,99.78220161174954,997.8400268554688,25.0
1727548552.261695,nan,nan,nan,nan,1727548551.378301,81.06,-3.0,1727548551.2538052,0,1727548551.479841,26.186666666666664,-0.0016000000000000005,1727548551.3365843,75.0,99.78845167135567,997.8865356445312,25.0
1727548552.261695,nan,nan,nan,nan,1727548551.378301,81.06,-3.0,1727548551.2538052,0,1727548551.479841,26.186666666666664,-0.0016000000000000005,1727548551.3365843,75.0,99.78845167135567,997.8865356445312,25.0
1727548553.2662382,nan,nan,nan,nan,1727548552.3868837,81.06,-3.0,1727548552.2606947,0,1727548552.485681,25.977777777777774,-0.0014666666666666673,1727548552.341481,75.0,99.78845167135567,997.8849487304688,25.0
1727548555.2670825,nan,nan,nan,nan,1727548554.3890605,81.06,-2.8,1727548554.2616901,0,1727548554.48563,25.853333333333335,-0.002800000000000001,1727548554.3324573,75.0,99.78532664155262,997.8616333007812,25.0
1727548556.2763789,nan,nan,nan,nan,1727548555.3823948,81.07,-2.7,1727548555.2665002,0,1727548555.491536,26.266666666666666,-0.0002666666666666667,1727548555.346891,75.0,99.78532664155262,997.8565673828125,25.0
1727548557.2957597,nan,nan,nan,nan,1727548556.3912356,81.05,-2.7,1727548556.275382,0,1727548556.498277,25.600000000000005,-0.0009333333333333333,1727548556.3429947,75.0,99.78532664155262,997.8726196289062,25.0
1727548557.2957597,nan,nan,nan,nan,1727548556.3912356,81.05,-2.7,1727548556.275382,0,1727548556.498277,25.600000000000005,-0.0009333333333333333,1727548556.3429947,75.0,99.78532664155262,997.8726196289062,25.0
