Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1726696928.6450343,-0.99,-0.001,-0.006,0.021,1726696915.3882072,0.0,0.0,1726696915.3882072,0.0,1726696915.3882072,0.0,0.0,1726696915.3882072,0.0,0.0,0.0,0.0
1726696929.1888416,-0.99,-0.001,-0.006,0.021,1726696928.7225268,0.0,-2.7,1726696928.6450343,0,1726696928.6450343,9.2,0.0,1726696928.7057636,75.0,100.09782962185875,1000.9732055664062,25.0
1726696929.6966834,-0.99,-0.001,-0.006,0.021,1726696929.270879,0.0,-2.7,1726696929.1870656,0,1726696929.1870656,8.4,0.0,1726696929.2425675,75.0,100.09470459205568,1000.9542846679688,25.0
1726696930.1791606,-0.99,-0.001,-0.006,0.021,1726696929.7828221,0.0,-2.7,1726696929.6966834,0,1726696929.6966834,8.6,0.002,1726696929.7578485,75.0,100.09782962185875,1000.9982299804688,25.0
1726696930.6899784,-0.99,-0.001,-0.006,0.021,1726696930.262881,0.0,-2.8,1726696930.1791606,0,1726696930.1791606,9.4,-0.002,1726696930.2533672,75.0,100.09470459205568,1000.9376831054688,25.0
1726696931.2250774,-0.99,-0.001,-0.006,0.021,1726696930.7751899,0.0,-2.8,1726696930.6899784,0,1726696930.6899784,8.8,-0.002,1726696930.7421095,75.0,100.09157956225262,1000.8972778320312,25.0
1726696931.7134116,-0.99,-0.001,-0.006,0.021,1726696931.3032024,0.0,-2.8,1726696931.2250774,0,1726696931.2250774,8.0,0.0,1726696931.2912729,75.0,100.09157956225262,1000.9241333007812,25.0
1726696932.21025,-0.99,-0.001,-0.006,0.021,1726696931.7919536,0.0,-2.9,1726696931.7134116,0,1726696931.7134116,8.4,0.0,1726696931.787084,75.0,100.10407968146487,1001.01318359375,25.0
1726696932.7218852,-0.99,-0.001,-0.006,0.021,1726696932.2923002,0.0,-2.9,1726696932.21025,0,1726696932.21025,9.0,-0.002,1726696932.2822697,75.0,100.09782962185875,1000.972412109375,25.0
1726696933.2172718,-0.99,-0.001,-0.006,0.021,1726696932.8065062,0.0,-2.9,1726696932.7218852,0,1726696932.7218852,8.8,-0.002,1726696932.7941747,75.0,100.09470459205568,1000.9423217773438,25.0
1726696933.7303987,-0.99,-0.001,-0.006,0.021,1726696933.2934422,0.0,-2.9,1726696933.2172718,0,1726696933.2172718,9.4,-0.002,1726696933.2890525,75.0,100.08845453244956,1000.8834838867188,25.0
