Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint (mbar a),Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C),Melthead: time (epoch),Melthead: Temperature (Not Yet Integrated)
1739817426.484737,nan,nan,nan,nan,1739817425.640955,81.1,-2.9,1739817425.5133796,0,1739817425.7318563,8.52,-0.01626666666666667,1739817425.6027708,750.0,100.54158385389346,1005.411865234375,25.0,1739817404.447722,nan
1739817427.476157,nan,nan,nan,nan,1739817426.6010358,81.09,-3.0,1739817426.4837341,0,1739817426.7063382,7.706666666666666,-0.01653333333333334,1739817426.5771003,750.0,100.5384588240904,1005.3936157226562,25.0,1739817404.447722,nan
1739817428.4976206,nan,nan,nan,nan,1739817427.5925696,81.07,-3.0,1739817427.4751866,0,1739817427.6974533,8.586666666666668,-0.016000000000000007,1739817427.567912,750.0,100.54158385389346,1005.4089965820312,25.0,1739817404.447722,nan
1739817429.4943519,nan,nan,nan,nan,1739817428.6172953,81.08,-3.1,1739817428.4956245,0,1739817428.7207167,8.866666666666669,-0.01693333333333333,1739817428.575381,750.0,100.54158385389346,1005.40771484375,25.0,1739817404.447722,nan
1739817430.5053413,nan,nan,nan,nan,1739817429.6093442,81.06,-3.2,1739817429.4933383,0,1739817429.711442,8.08,-0.016000000000000007,1739817429.5645864,750.0,100.54158385389346,1005.4112548828125,25.0,1739817404.447722,nan
1739817431.5001972,nan,nan,nan,nan,1739817430.6325715,81.06,-3.2,1739817430.5043406,0,1739817430.7185936,8.693333333333333,-0.015200000000000007,1739817430.587438,750.0,100.5384588240904,1005.4104614257812,25.0,1739817404.447722,nan
1739823749.1112473,194.906,0.386,0.05,0.074,1739823749.036538,81.06,-3.4,1739823748.9142554,0,1739823749.1278808,8.319999999999999,-0.015066666666666673,1739823749.0003932,780.0,100.60408444995468,1006.04638671875,25.0,1739823724.141765,nan
1739823750.0219157,194.906,0.386,0.05,0.081,1739823749.9965715,81.05,-3.4,1739823749.878015,0,1739823750.1028416,7.879999999999997,-0.016000000000000007,1739823749.9587147,780.0,100.60408444995468,1006.0446166992188,25.0,1739823724.141765,nan
1739823751.059623,194.488,0.386,0.05,0.081,1739823751.003797,81.05,-3.5,1739823750.8807926,0,1739823751.0925293,7.573333333333332,-0.01693333333333334,1739823750.9651396,780.0,100.60408444995468,1006.046630859375,25.0,1739823724.141765,nan
1739823752.0822067,194.488,0.386,0.108,0.067,1739823752.0287087,81.07,-3.5,1739823751.9018505,0,1739823752.1161394,7.946666666666669,-0.01613333333333334,1739823751.9915617,780.0,100.60408444995468,1006.048828125,25.0,1739823724.141765,nan
1739823753.0575752,194.839,0.386,0.108,0.067,1739823753.0199676,81.04,-3.4,1739823752.893977,0,1739823753.1074085,7.5066666666666695,-0.016000000000000007,1739823752.979749,780.0,100.60408444995468,1006.0419921875,25.0,1739823724.141765,nan
1739823754.048842,194.839,0.385,0.077,0.063,1739823754.012731,81.08,-3.4,1739823753.8958006,0,1739823754.1143825,8.34666666666667,-0.016000000000000007,1739823753.9885087,780.0,100.60408444995468,1006.026611328125,25.0,1739823724.141765,nan
1739823755.0384512,194.941,0.385,0.077,0.063,1739823755.020768,81.08,-3.3,1739823754.8958974,0,1739823755.1210625,8.026666666666667,-0.01613333333333334,1739823754.9926429,780.0,100.60095942015163,1006.0247192382812,25.0,1739823724.141765,nan
1739823756.045283,194.941,0.386,0.063,0.063,1739823756.0169504,81.05,-3.2,1739823755.8909433,0,1739823756.1120489,7.946666666666666,-0.016000000000000007,1739823755.9846976,780.0,100.60095942015163,1006.0245971679688,25.0,1739823724.141765,nan
1739823757.0520048,194.941,0.386,0.063,0.069,1739823757.0074844,81.06,-3.1,1739823756.8929307,0,1739823757.1193156,7.999999999999997,-0.016266666666666672,1739823756.991496,780.0,100.60095942015163,1006.0137329101562,25.0,1739823724.141765,nan
1739823758.0564718,194.844,0.386,0.099,0.069,1739823758.0159285,81.05,-3.0,1739823757.9021528,0,1739823758.1251364,8.48,-0.015866666666666675,1739823757.9851768,780.0,100.60095942015163,1006.0053100585938,25.0,1739823724.141765,nan
1739823759.080841,194.844,0.386,0.099,0.065,1739823759.024382,81.05,-2.9,1739823758.900928,0,1739823759.1155176,8.200000000000001,-0.015066666666666673,1739823758.9860528,780.0,100.60408444995468,1006.042724609375,25.0,1739823724.141765,nan
1739823760.342983,192.627,0.386,0.099,0.065,1739823760.0159621,81.06,-2.8,1739823759.9007497,0,1739823760.1222339,8.333333333333336,-0.017066666666666674,1739823760.0024688,780.0,100.60408444995468,1006.0528564453125,25.0,1739823724.141765,nan
1739823761.0452023,192.627,0.386,0.05,0.065,1739823761.0237727,81.06,-2.7,1739823760.8961284,0,1739823761.1130939,7.999999999999997,-0.016000000000000007,1739823760.982827,780.0,100.60095942015163,1006.0347290039062,25.0,1739823724.141765,nan
1739823762.050859,192.627,0.386,0.05,0.063,1739823762.0162117,81.06,-2.7,1739823761.8911154,0,1739823762.1030586,7.6800000000000015,-0.015200000000000007,1739823761.9938147,780.0,100.60095942015163,1006.0206909179688,25.0,1739823724.141765,nan
1739823763.0400772,194.148,0.386,0.091,0.063,1739823763.0078993,81.05,-2.6,1739823762.888178,0,1739823763.1099215,8.519999999999998,-0.016000000000000007,1739823762.9679658,780.0,100.60095942015163,1006.02099609375,25.0,1739823724.141765,nan
