Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min),Bronkhorst Pressure: time (epoch),Bronkhorst Pressure: Setpoint,Bronkhorst Pressure: Measurement (%),Bronkhorst Pressure: Measurement (mbar a),Bronkhorst Pressure: Temperature (C)
1726875354.307746,-0.99,-0.001,-0.006,0.021,1726875354.307746,1.01,-2.3,1726875354.2834136,0,1726875354.283927,-0.8,-0.008,1726875354.307746,75.0,99.90095274426588,999.013671875,25.0
1726875355.299151,-0.99,-0.001,-0.006,0.021,1726875355.299151,1.01,-2.3,1726875355.2980206,0,1726875355.299069,-0.8,-0.008,1726875355.299151,75.0,99.90095274426588,999.013671875,25.0
1726875356.3272886,-0.99,-0.001,-0.006,0.021,1726875356.3272886,1.01,-2.3,1726875356.3057375,0,1726875356.325003,-0.8,-0.008,1726875356.3272886,75.0,99.90095274426588,999.013671875,25.0
1726875357.3356454,-0.99,-0.001,-0.006,0.021,1726875357.3356454,1.01,-2.3,1726875357.3226671,0,1726875357.3336523,-0.8,-0.008,1726875357.3356454,75.0,99.90095274426588,999.013671875,25.0
1726875358.3332894,-0.99,-0.001,-0.006,0.021,1726875358.3332894,1.01,-2.3,1726875358.3306692,0,1726875358.331274,-0.8,-0.008,1726875358.3332894,75.0,99.90095274426588,999.013671875,25.0
1726875359.3346188,-0.99,-0.001,-0.006,0.021,1726875359.3346188,1.01,-2.3,1726875359.3167872,0,1726875359.331617,-0.8,-0.008,1726875359.3346188,75.0,99.90095274426588,999.013671875,25.0
1726875360.3354833,-0.99,-0.001,-0.006,0.021,1726875360.3354833,1.01,-2.3,1726875360.3343668,0,1726875360.3354833,-0.8,-0.008,1726875360.3354833,75.0,99.90095274426588,999.013671875,25.0
1726875361.341089,-0.99,-0.001,-0.006,0.021,1726875361.3400912,1.01,-2.3,1726875361.3289692,0,1726875361.3370895,-0.8,-0.008,1726875361.341089,75.0,99.90095274426588,999.013671875,25.0
1726875362.3330421,-0.99,-0.001,-0.006,0.021,1726875362.3330421,1.01,-2.3,1726875362.3066154,0,1726875362.3330421,-0.8,-0.008,1726875362.3330421,75.0,99.90095274426588,999.013671875,25.0
1726875363.3320398,-0.99,-0.001,-0.006,0.021,1726875363.3320398,1.01,-2.3,1726875363.3281233,0,1726875363.3297944,-0.8,-0.008,1726875363.3320398,75.0,99.90095274426588,999.013671875,25.0
